filename,min_dist,I_sc
TER_0624.pdb,10.3942,-12.8260
TER_0625.pdb,29.8750,0.0000
TER_0626.pdb,17.8280,-9.6810
TER_0627.pdb,14.1709,-8.3780
TER_0628.pdb,16.7366,-16.0590
TER_0629.pdb,19.9105,-11.7170
TER_0630.pdb,12.0488,-14.0280
TER_0631.pdb,10.8685,-17.1150
TER_0632.pdb,15.1869,-15.8840
TER_0633.pdb,11.3059,-13.6410
TER_0634.pdb,22.3864,-9.5170
TER_0635.pdb,12.1442,-15.7200
TER_0636.pdb,23.9907,-17.1180
TER_0637.pdb,13.8350,-16.3010
TER_0638.pdb,17.0266,-10.9340
TER_0639.pdb,25.1896,-4.1290
TER_0640.pdb,22.4538,-1.7810
TER_0641.pdb,28.2868,-4.9210
TER_0642.pdb,16.9534,-7.4900
TER_0643.pdb,18.0909,-7.4550
TER_0644.pdb,22.1506,-11.3460
TER_0645.pdb,15.7746,-9.4250
TER_0646.pdb,13.4001,-14.0070
TER_0647.pdb,15.3624,-15.1810
TER_0648.pdb,24.1062,-3.3500
TER_0649.pdb,23.1454,-4.9110
TER_0650.pdb,21.7247,-12.0690
TER_0651.pdb,16.2634,-6.1100
TER_0652.pdb,21.6790,-12.5020
TER_0653.pdb,14.2975,-10.3160
TER_0654.pdb,18.1937,-11.5510
TER_0655.pdb,33.1531,0.0000
TER_0656.pdb,18.2030,-12.3700
TER_0657.pdb,13.0860,-12.5200
TER_0658.pdb,24.2574,-3.6420
TER_0659.pdb,19.1062,-9.0450
TER_0660.pdb,13.1958,-12.7490
TER_0661.pdb,12.5630,-2.2710
TER_0662.pdb,12.3734,-4.4770
TER_0663.pdb,11.4742,-12.1150
